Team name,Submission Time,Top-1 hr,Top-3 hr,Top-5 hr,Overall hr
RankMe, 2025-01-04, 0.0683, 0.2050, 0.2833, 0.1855
谭湘文, 2025-01-06, 0.4316, 0.6516, 0.7516, 0.6116
KON, 2025-01-06, 0.3383, 0.5900, 0.6850, 0.5377
LiLaiLai, 2025-01-07, 0.0533, 0.2450, 0.4050, 0.2344
RankMe, 2025-01-07, 0.0816, 0.2016, 0.3200, 0.2011
AwesomeAgent, 2025-01-07, 0.0533, 0.2400, 0.4033, 0.2322
Open-ZI,2025-01-08,0.0567,0.2483,0.4067,0.2372
AwesomeAgent,2025-01-08,0.2300,0.4383,0.6200,0.4294
Civilization,2025-01-08,0.0533,0.2333,0.3967,0.2278
RecHackers,2025-01-08,0.0500,0.2400,0.4050,0.2317
tsdxgxxb,2025-01-08,0.0600,0.2433,0.4017,0.2350
RecAgent,2025-01-08,0.0517,0.2133,0.3500,0.2050
谭湘文, 2025-01-08,0.3317,0.5767, 0.6883, 0.5322
Lie Flat Champion ,2025-01-09,0.4350,0.6583,0.7483,0.6139
谭湘文,2025-01-09,0.3033,0.5583,0.6867,0.5161
JustRec,2025-01-10,0.0533,0.2450,0.4067,0.2350
Lie Flat Champion ,2025-01-10,0.4117,0.6250,0.7300,0.5889
3095,2025-01-10,0.0533,0.2400,0.4017,0.2317
STD,2025-01-10,0.0533,0.2400,0.4033,0.2322
RecHackers,2025-01-10,0.0933,0.2183,0.3250,0.2122
谭湘文,2025-01-10,0.4350,0.6550,0.7500,0.6133
Chengze Li,2025-01-11,0.0583,0.2100,0.3550,0.2078
RecHackers,2025-01-11,0.1167,0.2700,0.3967,0.2611
Lie Flat Champion ,2025-01-11,0.2800,0.5583,0.6983,0.5122
谭湘文,2025-01-11,0.1767,0.3783,0.5750,0.3767
RecAgent,2025-01-11,0.2900,0.5533,0.6867,0.5100
FollowSen,2025-01-12,0.0450,0.2233,0.3733,0.2139
Pioneer,2025-01-12,0.0500,0.2150,0.3717,0.2122
DummyAgent,2025-01-12,0.4033,0.6117,0.6817,0.5656
LiLaiLai,2025-01-12,0.0433,0.2167,0.3650,0.2083
天天睡不着,2025-01-12,0.0467,0.2167,0.3667,0.2100
fighting!!!,2025-01-12,0.0583,0.2450,0.4150,0.2394
ACDC,2025-01-12,0.2317,0.4100,0.5250,0.3889
RecHackers,2025-01-12,0.4267,0.6333,0.7367,0.5989
tsdxgxxb,2025-01-12,0.3550,0.5783,0.6833,0.5389
3095,2025-01-12,0.1317,0.3350,0.4633,0.3100
Fang2,2025-01-12,0.1133,0.2750,0.3933,0.2606
KON,2025-01-12,0.0000,0.0000,0.0000,0.0000
cigit-shi,2025-01-13,0.4317,0.6500,0.7433,0.6083
Lie Flat Champion ,2025-01-13,0.2383,0.5350,0.6717,0.4817
3095,2025-01-13,0.1833,0.4333,0.6183,0.4117
GPU is all your need,2025-01-13,0.0533,0.2433,0.4050,0.2339
RecHackers,2025-01-13,0.2683,0.4933,0.6100,0.4572
tsdxgxxb,2025-01-13,0.3100,0.5183,0.6367,0.4883
pp,2025-01-13,0.0533,0.2433,0.4100,0.2356
先试试再说,2025-01-13,0.0533,0.2433,0.4050,0.2339
谭湘文,2025-01-13,0.2517,0.5750,0.7267,0.5178
